category,title,content
politics,Chancellor rallies Labour voters,Gordon Brown issued rallying cry supporters warning stakes high stay home protest vote next general election The chancellor said poll expected fall 5 May would give clear fundamental choice Labour investment Tory cuts He told partys spring conference Tories must allowed win The Conservatives Lib Dems insisted voters faced higher taxes meanstesting Labour To packed audience Gatesheads Sage Centre Mr Brown accused shadow chancellor Oliver Letwin plotting cuts equivalent sacking every teacher GP nurse country Laying Conservatives record government said I give promise Labour Britain never return mistakes ERM 10 inflation 15 interest rates 3bn lost reserves 250000 repossessed one million negative equity three million unemployed Never Tory boom bust This central dividing line election Conservative Party taking Britain back planning deep cuts 35bn services Labour government taking Britain forward platform stability reform renew hospitals schools public services I proud say spend 2008 60bn Turning economy chancellor promised continue economic stability growth third term power He also pledged continue fight child pensioner poverty And promised help get young people property ladder My message thousands young couples waiting obtain first home housing rightly centre coming manifesto said And next Labour government match low mortgage rates new firsttime buyers initiative In speech prompted standing ovation also promised end teenage unemployment within next five years He also highlighted plans 100 debt relief worlds poorest countries national minimum wage 16 17yearolds creation network childrens centres flexibility maternity leave Responding speech shadow chief secretary Treasury George Osborne said This talk Gordon Brown Weve heard Instead talking future kept talking past He completely failed say taxes would put fill black hole spending plans There simple choice election value money lower taxes Conservatives waste higher taxes Tony Blair Gordon Brown Liberal Democrat shadow chancellor Vince Cable warned picture rosy Mr Brown would like portray For trumpeting Labours management economy Gordon Browns record mixed said Gordon Brown created system massive centralisation bureaucracy system subjects millions people means testing system taxation extremely complex For positive words Gordon Brown faced economic problems looming horizon least unprecedented levels personal debt facing nation Also Gateshead prime minister took questions sent email text message telephone part Labours attempt engage public campaign Mr Blair told audience believed Iraq war would made Britain safer place emerging democracy succeeded wanted bring troops home soon possible job done He also said wanted carry PM I still think big changes country needs
politics,CSA chief quit still job,The head failing Child Support Agency widely reported resigned three months ago still helm troubled organisation Doug Smiths departure announced Work Secretary Alan Johnson 17 November MPs grilled agencys poor performance His resignation referred Tory Lib Dem leaders days prime ministers questions Officials say resign move civil service rules Mr Smiths departure reported widely time shouldering blame failings Child Support Agency In January MPs make Commons Work Pensions Committee published highly critical report failing agency noting chief executive left hoping new leadership bring fresh approach failing organisation On days Today programme Mr Johnson asked Mr Smith allowed resign rather sacked He replied The chief executive decided time move new chief executive coming It emerges widespread belief Mr Smith made Commander Order Bath New Year honours left wrong A Department Work Pensions spokeswoman confirmed Mr Smith still post would continue job replacement found No date ever given Doug Smiths departure said adding post advertised Tory work pensions spokesman David Willetts said families affected CSA failings would wonder Mr Smith still job three months departure announced The CSA surrounded controversy since introduction 1993 assess enforce child support payments absent parents The work pensions committee launched inquiry CSAs performance became clear despite introduction simpler system calculating maintenance payments new cases 2003 backlog claims still building It currently chasing outstanding payments 720m 947m designated unrecoverable The MPs found American IT giant EDS 456m system nowhere near fully functional number dissatisfied disenchanted angry customers continues escalate In November surprised MPs watching media announcing Mr Smiths departure Mr Johnson said I tell Doug decided time stand aside allow new chief executive tackle challenges ahead Doug exceeded four years senior civil servants expected remain particular post So Doug believes reached natural breakpoint hand reins Lib Dem Sir Archy Kirkwood chairs Commons work pensions committee said Mr Johnson announced Mr Smith going got clear impression CSA chief retiring though since emerged case may seeking new employment opportunities He added committee duty bound allow work pensions secretary get new management place CSA would premature say anything issue moment But committee member Tory MP Nigel Waterson said amazed Mr Smith still job When Mr Smith secretary state came give evidence led believe going shortly said Even working three months notice clearing desk Asked Thursday Mr Smiths position Mr Johnson told BBC Radio 4s World One thought nonstory He added absolutely open announced Mr Smiths departure select committee people chose interpret different thing The major issue got new chief executive coming important agency quickly possible gone right selection process make sure weve got right people added
business,Battered dollar hits another low,The dollar fallen new record low euro data fuelled fresh concerns US economy The greenback hit 13516 thin New York trade rallying 13509 The dollar weakened sharply since September traded 120 amid continuing worries levels US trade budget deficits Meanwhile Frances finance minister said world faced economic catastrophe unless US worked Europe Asia currency controls Herve Gaymard said would seek action issue next meeting G7 countries February Ministers European Asian governments recently called US strengthen dollar saying excessively high value euro starting hurt exportdriven economies Its absolutely essential meeting G7 American friends understand need coordinated management world level said Mr Gaymard Thursdays new low dollar came data released showing yearonyear sales new homes US fallen 12 November analysts saying could indicate problems ahead consumer activity Commerce Department data also showed consumer spending drives two thirds US economy grew 02 last month The figure weaker forecast fell short 08 rise October The official US policy supports strong dollar many market observers believe happy let dollar fall boost exporters The US government faced pressure exporter organisations publicly stated currency still fall abnormal dangerous heights set 2002 The US says let market forces determine dollars strength rather intervene directly Statements President Bush recent weeks highlighting aim cut twin US deficits prompted slight upturns currency But observers said quiet trade Thursday exacerbated small moves market agree underlying trend remains downwards The dollar fallen third consecutive year analysts forecasting albeit less dramatic weakening 2005 I see finishing year around 135 see going steady track upward eurodollar 2005 finishing year around 140 said Adrian Hughes currency strategist HSBC London
business,Indian oil firm eyes Yukos assets,Indias biggest oil exploration firm Oil Natural Gas Corp ONGC says talks buy former assets troubled Russian crude producer Yukos We touch concerned Russian entities Yukos assets opportunities Russia said ONGC chairman Subir Raha Local press reported ONGC looking buy 15 Yukos former key oil production unit 2bn 1bn Yukos broken Russian authorities pay massive tax bill It forced sell key production unit Yuganskneftegas Yugansk last month hit bill 27bn unpaid taxes fines Stateowned Rosneft owns Yugansk Russia said turn oil producer standalone firm Indian oil minister Mani Shankar Aiyar discussed ONGCs plans trip Moscow last year topic came Russian president Vladimir Putins recent visit New Delhi It would make great sense us build said Mr Aiyar Indias oil production stagnated recent years look abroad secure future supplies India imports 70 total oil consumption At time Indias economy booming countrys thirst oil strong helped pushed price crude worldwide India produces 793000 barrels oil per day bpd little changed since start 1990s according oil industry analysts DouglasWestwood Consumption meanwhile jumped 24 million bpd compared 474000 bpd 1973 For countries develop access energy said John Westwood managing director oil industry analysts DouglasWestwood India dramatically growing economy must access oil By buying Yugansk ONGC would able reduce dependence Gulf states oil imports Mr Westwood explained especially chances finding exploiting resources within India slim We forecast Indian production go significant decline Mr Westwood said By 2020 production may half todays levels ONGC majorityowned Indian state already bought petroleum assets countries including Vietnam Sudan Russia The company partner Rosneft Sakhalin1 oil field Russias Siberian coast ONGC however firm interested Yugansk Chinese crude company China National Petroleum also mentioned possible investor Thursday Italy refused rule interest ONGCs interest latest twist saga seen one worlds biggest oil producers brought knees The dispute partly driven President Putins clampdown political ambitions exYukos boss Mikhail Khodorkovsky currently jail charges fraud tax evasion Yukos battling Russian authorities year filed bankruptcy protection US Analysts questioned long continue survive without Yugansk On Thursday US court said hear arguments Yukos bankruptcy claim thrown 16 February Should happen Yukos little chance clawing back assets analysts said
entertainment,Indie film nominations announced,Mike Leighs awardwinning abortion drama Vera Drake scooped seven nominations years British Independent Film Awards But Venice winner faces stiff competition Shane Meadows critically acclaimed Dead Mans Shoes received eight nominations Also running clutch awards My Summer Love stalker drama Enduring Love The winners announced ceremony London 30 November The winners awards chosen jury chaired Cold Mountain director Anthony Minghella including actresses Cate Blanchett Helena BonhamCarter The awards recognise independent filmmaking Britain established seven years ago This years nominees reflect growing strength diversity British independent filmmaking said BIFA founder director Elliot Grove Commenting diversity nominated films added Our selection committee harder time ever narrowing field Joining Vera Drake Dead Mans Shoes running best film My Summer Love climbing documentary Touching Void zombie comedy Shaun Dead Geoffrey Rush wins best actor nomination role Peter Sellers recent biopic The Life Death Peter Sellers The Australian star faces competition Daniel Craig Enduring Love Phil Davis Vera Drake Ian Hart Blind Fight Dead Mans Shoes star Paddy Considine Considine also nominated best supporting actor award My Summer Love A rare US nominee Scarlett Johansson among years best actress contenders role Girl Pearl Earring Fellow nominees include Imelda Staunton Vera Drake Natalie Press My Summer Love Anne Reid The Mother Eva Birthistle Ae Fond Kiss Shane Meadows Kevin McDonald former winners Douglas Hickox Award Best Directorial Debut best director nominations Seasoned filmmakers Roger Michell Mike Leigh Pavel Pavlikowsky challenge award Harry Potter author JK Rowling receive special award contribution industry
sport,Young debut cut short Ginepri,Fifteenyearold Donald Youngs first appearance ATP tennis tournament proved brief teenager went round one San Jose Open Young shot top junior world rankings boys singles Januarys Australian Open But wildcard entry dispatched fellow American Robby Ginepri straight sets 62 62 California Despite happy Tour debut It fun I chances didnt come said Young beat two players ranked top 200 14 21 first set losing 10 next 13 games And Ginepri six years older youngest player ever win junior slam top global standings admitted impressed Hes talented said Ginepri Hes got long future ahead Being lefthanded quick around court His serve little deceptive He came net volleyed better I thought Earlier South Korean HyungTaik Lee defeated American JanMichael Gambill 63 76 74 American Kevin Kim defeated Jan Hernych Czech Republic 75 63 Canadian qualifier Frank Dancevic downed American Jeff Morrison 46 76 73 60 Denmarks Kenneth Carlsen beat Irakli Labadze Republic Georgia 67 47 62 63 Top seed Andy Roddick launches defence title Wednesday qualifier Paul Goldstein Second seed Andre Agassi opens campaign Tuesday wildcard Bobby Reynolds last years US collegiate champion Agassi San Jose five times run three straight titles ended last year fell Mardy Fish semifinals Fish went lose Roddick final
tech,Podcasters look net money,Nasa 14yearold boys bedrooms couples gadget lovers male female definitely It podcasting DIY radio form downloadable MP3 audio files They done anyone microphone simple software net something say Some liken talking audioblogs many complement textbased weblogs diarylike sites people share thoughts They essentially amateur radio shows net demand movement early stages Its real people saying real things communicating says Adam Curry former MTV VJ Pied Piper podcasting He one community people created iPodder small computer program known aggregator It collects automatically sends MP3 files digital musicplaying device play WMP formats Those digital music players select podcasts like subscribe free shows feed When new podcast available automatically sent device connected computer It totally going kill business model radio thinks Curry I tour Madison Avenue big brands advertising agencies world says And scared death next generation like daughter 14 dont listen radio They MSN theyve got iPod MP3 player theyve got Xbox listening radio So going reach audiences It distribution changing barriers brought everyone part It fledgling movement gaining momentum people started thinking make business Ian Fogg Jupiter Research analyst thinks could potential business could take interesting turn big companies like Apple Microsoft get involved It nascent area quite exciting It yet another area demonstrates move digital lifestyle digital home says Podcasting one interesting areas bridges home classic hybrid It another aspect timeshifting content latest industry buzzword able listen want wherever want Audiences 10s 100s 1000s rather millions More 4300 podcasts currently listed Currys Daily Source Code committed daily inspire community 10s thousands listeners But Dave Winer doubtful He designed format called RSS Really Simple Syndication gives web users easy way keep updated automatically sites like Podcasts rely technology way distributed He also writer longestrunning weblog net Scripting News He thinks power lies democratising potential overhyped business promise Were sources people stuff podcasting way tell people care No matter look commercialising medium isnt going make much money says Podcasting going medium niches audiences measured single digits like email blogs Maybe years maybe six seven digits But sustain interest beyond hype balloon Curry associate Ron Blooms new venture called PodShow help ordinary people produce post distribute market podcasts Because way podcasts work based RSS latest podcasts people select mean readymade targets When look podcasting wow pretty interesting audience The audience preselected They decided subscribe program explains Curry Advertising eyes tailored podcasts make imaginative unobtrusive How I believe work create network aggregation enough numbers support return investment advertisers podcasters I 50 60 70000 listeners I could make couple bucks much If talking million podcasters kind divide amongst kind interesting Essentially says bass fishing podcast someone selling bait tackle probably want advertise show He clear ads traditional inyourface type familiar commercial radio We really going see microcosms commerce place It happening already Coffeeloving Curry sold 4000 worth coffee machines referral link Amazon site Others use inshow promotions like The Dawn Drew Show One Eric Rice sponsorship Warner Bros He legally play music band Warner Bros wants push Some commentators net say similar feel dotcom days Others say another element setting media free big companies letting people creative One thing sure disappear hurry The creative forces behind radio elated says Curry For tunes negative comments within podcasting community I knighted adds wry chuckle People going happy sit home make podcast make little money
business,Glazer makes new Man Utd approach,Malcolm Glazer made fresh approach buy Manchester United could lead bid valuing Premiership club 800m The US tycoon wooing club last 12 months approached United board detailed proposals confirmed Mr Glazer owns Tampa Bay Buccaneers team hopes lead formal bid accepted His new offer expected contain substantially less debt Mr Glazer already one takeover attempt turned Red Devils responded using 281 shareholding vote three board members last November Man United turned bid based high level borrowing But newspapers speculated recently tycoon gained support leading banks come stronger less debtladen bid Last week however Mr Glazer issued statement Stock Exchange distancing new bid Meanwhile Uniteds chief executive David Gill said December talks would resume unless Glazer came definitive proposals Now board confirmed US bidder back statement issued Sunday reading The board confirm received detailed proposal subject various preconditions may form basis offer A announcement made due course To succeed Malcolm Glazer still need approval major shareholders John Magnier JP McManus 289 club But Irish duo cut talks Glazer proposed sale stake far made comment latest approach United fans reacted anger announcement They vehemently opposed proposed takeover Glazer since first showed interest club September 2003 Sundays announcement vowed fight We fight tooth nail stop whatever offer says We want anybody else taking United said Mark Longden Independent Manchester United Supporters Association The campaign proposed takeover continue done since Glazer first showed interest club
entertainment,Robots march US cinema summit,Animated movie Robots opened top US Canada box office chart taking 365m 19m first weekend release Featuring voices Ewan McGregor Halle Berry Robin Williams Mel Brooks Robots follows robot inventor moves big city Vin Diesels family comedy The Pacifier fell number two spot taking 181m 94m New Bruce Willis movie Hostage opened number four 98m 51m However recut version Mel Gibsons The Passion Christ featured less violence last years original movie took 239850 125000 despite opening 957 cinemas The new version film received little publicity original version available across US DVD We certainly higher expectations got said Rob Schwartz head distribution Newmarket Films released The Passion Christ We trying get film hoping would reach audience didnt quite reach first time around It doesnt seem worked quite well hoped Meanwhile Will Smith comedy Hitch become top film global box office taking estimated 301m 156m weekend cinemas outside North America according industry website Screen Daily It taken 655m 341m far buoyed opening number one UK last weekend successful run Germany The movie cost reported 70m 364m make taken 138m 72m US far
politics,Burglar defence guidelines issued,Householders injure even kill intruders unlikely prosecuted providing acting honestly instinctively new guidelines say The law also protects use something hand weapon The leaflet published police prosecutors aims combat confusion current legislation lets people use reasonable force The guidance relating England Wales follows recent decision ministers change law Doing honestly instinctively believed necessary would strongest evidence acting lawfully guidance said And law protects use something hand weapon said leaflet published jointly Crown Prosecution Service CPS Association Chief Police Officers ACPO As general rule extreme circumstances fear felt force used lawfully selfdefence said adding householders wait attacked defending But knocking someone unconscious killing hurting setting trap intruder without involving police given examples excessive gratuitous force The Tories called change law householders prosecuted use grossly disproportionate force Their demands backed former Metropolitan Police Commissioner Sir John Stevens Tory frontbencher Patrick Mercer pursuing proposal private members bill Parliament The government instead mounted publicity campaign clear public uncertainty review concluded law change necessary Home Secretary Charles Clarke said I believe old adage Englishmans home castle Thats exactly case I believe current law provides An informal trawl CPS records found 11 people prosecuted attacking intruders past 15 years five convicted They included man laid wait burglar commercial premises Cheshire beating throwing pit setting fire A CPS spokesperson said figures definitive prosecutions listed according whether committed householder intruder In one Britains highest profile cases Norfolk farmer Tony Martin jailed life murdering 16yearold burglar Fred Barras 1999 The conviction later reduced manslaughter appeal sentence cut five years Mr Martin freed prison July 2003 The guidance published Tuesday said police duty investigate incidents involving death injury In cases involving householders attacking intruders prosecutors police determined would dealt swiftly sympathetically possible said
tech,2D Metal Slug offers retro fun,Like drill sergeant past Metal Slug 3 wakeup call todays gamers mollycoddled slick visuals fancy trimmings With handanimated sprites 2D sidescrolling even considered retro released arcades four years ago But frantic shooter find end joypad year And yes includes Halo 2 Simply choose grunt wade five 2D sidescrolling levels hectic video game blasting ever encounter It also toughest game likely play hordes enemies lives pile pressure Players must battle soldiers snowmen zombies giant crabs aliens mention huge screenfilling bosses guard five levels The shootanythingthatmoves gameplay peppered moments oldschool genius Fans robotic gastropods note title refers instead vast array vehicles offer game stuffed bizarre hardware Tanks jets submarines commandeered well cannontoting camels elephants ostriches weaponry offer acre Iraq Doling justice joy thanks ultra responsive controls tough nut crack addictive enough gagging one last go And mere 20 Metal Slug 3 cheap sliced fried spuds man says Of course ignore lacking visual fireworks modern blasters But time blockbuster titles offer fresh lick paint favour real innovation Metal Slug 3 fresh gasp air era Xbox even twinkle Bill Gates eye
tech,Games enter classroom,Video games could soon transplanted natural habitat academic atmosphere classroom With violent titles continuing top charts gaming learning always sat well together tide could beginning turn Recent research London Institute Education concluded games valid place classroom Games teach life skills decision making problem solving said Martin Owen Futurelab Mr Owen said games could also help children make quick assessments situations learning trial error Futurelab nonprofit organisation looking ways using technology innovative learning Most game firms busy turning profit lucrative commercial market consider developing games use schools Liverpoolbased games firm Lateral Visions saw gap market Learning games somewhat oldfashioned didnt see anyone else wanted said Dr Carl Gavin managing director Lateral Visions The company set write something look feel commercial game educational learning element The result Racing Academy massively multiplayer car racing game requires thirst speed working knowledge physics engineering well It used Futurelab test viability using gaming classroom We keen find whether alongside learning game also learn something rest world understand educational said Mr Owen Players understand car works order win races knowledge physics engineering gather along way done way text book teach The game requires users build maintain vehicles monitor analyse performance using data variety outputs racing Teamwork essential chat area allows students exchange information data work collaboratively review performances This fusion chatrooms gaming special interest Futurelab talking others much learning achieved thinks Mr Owen The game trialled two secondary schools Bristol feedback students positive Pupils used statistics work best way build cars online message board share ideas support said Ben Williamson researcher Futurelab charged testing game real schools Dr Gavin thinks game satisfies teachers need learning outcomes childrens desire rise challenge Games classroom need support teacher It giving children free rein play game recognising games attract attention offer challenge said Professor Angela MacFarlane based Bristol University spent several years researching games incorporated classrooms Use games schools patchy found Sim City proving popular Traditionally schools eschewed mainstream games favour used socalled edutainment software belief packages help make learning fun found research It perhaps compromise edutainment mainstream games greatest potential classroom useable games lies wrote paper entitled Games Learning Lite versions existing games could way forward would overcome one biggest hurdles persuading developers write educational market This would appeal developers low costs involved adapting well offering new opportunity marketing Already games market Civilisation Age Empire educational elements said Mr Owen Even Grand Theft Auto violence engages people said It could time particular game makes classroom though
business,Asian banks halt dollars slide,The dollar regained lost ground major currencies Wednesday South Korea Japan denied planning selloff The dollar suffered biggest oneday fall four months Tuesday fears Asian central banks lower reserves dollars Japan biggest holder dollar reserves world South Korea fourth largest The dollar buying 10476 yen 0950 GMT 05 stronger day It also edged higher euro pound one euro worth 13218 one pound buying 19094 Concerns rising oil prices outlook dollar pushed US stock markets Tuesday Dow Jones industrial average closed 16 Nasdaq lost 13 The dollars latest slide began South Korean parliamentary report suggested country 200bn foreign reserves plans boost holdings currencies Australian Canadian dollar On Wednesday however South Korea moved steady financial markets It issued statement The Bank Korea change portfolio currencies reserves due short term market factors Japan steadied nerves A senior Japanese Finance Ministry official told Reuters plans change composition currency holdings foreign reserves thinking expanding euro holdings Japan 850bn foreign exchange reserves At start year US currency lost 7 euro final three months 2004 fallen record lows staged something recovery Analysts however pointed dollars inability recently extend rally despite positive economic corporate data highlighted fact many USs economic problems disappeared The focus countrys massive trade budget deficits analysts predicted dollar weakness come
